,mean_ann,std_ann,skewness,kurtosis,sharpe,n_obs
AAPL_ret,-0.0513,0.4518,-0.1635,2.8962,-0.1136,2347
MSFT_ret,0.1302,0.5017,-0.309,4.2701,0.2596,2347
GOOGL_ret,0.0317,0.3087,-0.1979,3.5685,0.1028,2347
AMZN_ret,-0.1167,0.3563,-0.3507,5.2213,-0.3274,2347
NVDA_ret,-0.0782,0.3481,0.0741,4.212,-0.2247,2347
META_ret,-0.0759,0.3398,-0.1943,3.6557,-0.2235,2347
TSLA_ret,-0.0568,0.3873,-0.1529,2.5806,-0.1465,2347
AVGO_ret,-0.1193,0.3671,-0.231,5.1894,-0.325,2347
ORCL_ret,-0.0594,0.3888,-0.282,4.1981,-0.1528,2347
CRM_ret,-0.0622,0.4469,-0.3546,3.7318,-0.1391,2347
JPM_ret,-0.1435,0.4064,-0.2636,4.4003,-0.353,2347
BAC_ret,-0.1881,0.4895,-0.2528,4.1773,-0.3842,2347
WFC_ret,-0.0921,0.3447,-0.2392,5.2853,-0.2672,2347
GS_ret,-0.0211,0.4897,-0.3998,6.0698,-0.0431,2347
MS_ret,0.0284,0.3423,-0.2013,2.9236,0.083,2347
BLK_ret,-0.1768,0.4745,-0.1954,5.0065,-0.3726,2347
C_ret,-0.0993,0.3996,-0.3083,4.8014,-0.2485,2347
AXP_ret,-0.0581,0.4476,-0.2442,4.3286,-0.1298,2347
USB_ret,-0.0431,0.3608,-0.2321,2.7616,-0.1195,2347
PNC_ret,-0.0704,0.3813,-0.1828,3.0653,-0.1845,2347
JNJ_ret,-0.1622,0.4702,-0.3913,6.3009,-0.3449,2347
UNH_ret,-0.1624,0.5463,-0.2161,5.3151,-0.2973,2347
PFE_ret,-0.0963,0.3669,-0.3565,4.1957,-0.2624,2347
ABBV_ret,-0.1244,0.4669,-0.4166,5.188,-0.2665,2347
MRK_ret,-0.1531,0.522,-0.1092,4.0827,-0.2933,2347
TMO_ret,-0.0632,0.4896,-0.3736,5.913,-0.1291,2347
ABT_ret,-0.1205,0.3159,-0.4929,4.3328,-0.3814,2347
DHR_ret,-0.1245,0.3776,0.0893,1.8423,-0.3298,2347
BMY_ret,-0.2444,0.3953,-0.2163,2.7559,-0.6183,2347
AMGN_ret,-0.1813,0.5105,-0.3454,4.8631,-0.355,2347
CAT_ret,-0.0414,0.3959,-0.1053,1.728,-0.1044,2347
BA_ret,-0.115,0.4725,-0.3388,3.6621,-0.2435,2347
HON_ret,-0.2314,0.5478,-0.3109,4.7638,-0.4224,2347
GE_ret,-0.0695,0.4546,-0.1805,3.1744,-0.1528,2347
MMM_ret,-0.0544,0.4415,-0.345,6.0961,-0.1232,2347
UPS_ret,-0.1019,0.395,0.0447,3.3256,-0.2579,2347
RTX_ret,-0.09,0.4928,-0.2278,3.7914,-0.1826,2347
LMT_ret,-0.1933,0.5037,-0.201,5.2118,-0.3837,2347
DE_ret,-0.1003,0.3744,-0.0466,2.1133,-0.2678,2347
EMR_ret,-0.1572,0.458,-0.3167,6.1769,-0.3432,2347
HD_ret,-0.1782,0.5508,-0.4272,5.3267,-0.3234,2347
MCD_ret,-0.2354,0.491,-0.3663,4.9844,-0.4795,2347
NKE_ret,-0.1213,0.3664,-0.2785,4.8311,-0.3312,2347
SBUX_ret,-0.1788,0.4776,-0.3498,6.4,-0.3744,2347
TGT_ret,0.0394,0.3643,-0.1627,1.9943,0.1081,2347
PG_ret,-0.1144,0.4071,-0.3932,4.8526,-0.2811,2347
KO_ret,-0.3283,0.5408,-0.1685,5.0661,-0.6071,2347
PEP_ret,-0.2787,0.3794,-0.1858,3.4958,-0.7348,2347
WMT_ret,-0.1004,0.4053,-0.1246,3.097,-0.2478,2347
COST_ret,-0.0217,0.4131,-0.1953,2.2721,-0.0525,2347
XLK_ret,-0.0529,0.4707,-0.2239,6.3765,-0.1124,2347
XLF_ret,-0.1009,0.478,-0.2465,6.4393,-0.2111,2347
XLE_ret,-0.1002,0.5036,-0.0484,3.7272,-0.199,2347
XLV_ret,-0.0686,0.4447,-0.2266,4.9562,-0.1543,2347
XLI_ret,-0.0962,0.4554,-0.1169,2.9458,-0.2112,2347
XLY_ret,-0.1682,0.4497,-0.4314,4.8542,-0.374,2347
XLP_ret,-0.1792,0.4842,-0.1976,3.1656,-0.37,2347
XLU_ret,-0.0873,0.4231,-0.3604,4.5909,-0.2062,2347
XLB_ret,-0.1015,0.4525,-0.322,4.5595,-0.2243,2347
XLRE_ret,-0.1614,0.4047,-0.2637,5.8261,-0.3987,2347
